Unnamed: 0,CTUID,DGUID,CTNAME,LANDAREA,PRUID,total_hospitals_within_30_mins_before,total_hospitals_within_30_mins_after,total_hospitals_within_30_mins_diff
154,5350193.00,2021S05075350193.00,193.0,1.3846,35,0.0,0.0,0.0
155,5350201.00,2021S05075350201.00,201.0,0.7606,35,0.0,0.0,0.0
156,5350202.00,2021S05075350202.00,202.0,0.3359,35,0.0,0.0,0.0
157,5350203.00,2021S05075350203.00,203.0,0.5966,35,0.0,0.0,0.0
158,5350204.00,2021S05075350204.00,204.0,0.7465,35,0.0,0.0,0.0
159,5350205.00,2021S05075350205.00,205.0,0.7448,35,0.0,0.0,0.0
160,5350207.00,2021S05075350207.00,207.0,0.675,35,0.0,0.0,0.0
161,5350208.00,2021S05075350208.00,208.0,1.2974,35,0.0,0.0,0.0
162,5350209.00,2021S05075350209.00,209.0,0.681,35,0.0,0.0,0.0
163,5350211.00,2021S05075350211.00,211.0,3.2763,35,0.0,0.0,0.0
164,5350212.00,2021S05075350212.00,212.0,1.6941,35,0.0,0.0,0.0
165,5350214.00,2021S05075350214.00,214.0,2.8231,35,0.0,0.0,0.0
166,5350215.00,2021S05075350215.00,215.0,2.5734,35,0.0,0.0,0.0
167,5350216.00,2021S05075350216.00,216.0,1.9782,35,0.0,0.0,0.0
168,5350217.00,2021S05075350217.00,217.0,1.223,35,0.0,0.0,0.0
169,5350218.00,2021S05075350218.00,218.0,0.6764,35,0.0,0.0,0.0
170,5350219.00,2021S05075350219.00,219.0,1.3542,35,0.0,0.0,0.0
171,5350220.00,2021S05075350220.00,220.0,1.2991,35,0.0,0.0,0.0
172,5350224.00,2021S05075350224.00,224.0,1.0381,35,0.0,0.0,0.0
173,5350226.00,2021S05075350226.00,226.0,0.949,35,0.0,0.0,0.0
174,5350227.00,2021S05075350227.00,227.0,0.4918,35,1.0,3.0,2.0
175,5350228.00,2021S05075350228.00,228.0,0.8207,35,0.0,0.0,0.0
176,5350229.00,2021S05075350229.00,229.0,0.3203,35,0.0,0.0,0.0
177,5350231.00,2021S05075350231.00,231.0,3.0227,35,0.0,0.0,0.0
178,5350232.00,2021S05075350232.00,232.0,2.0474,35,0.0,0.0,0.0
179,5350233.00,2021S05075350233.00,233.0,2.0783,35,0.0,0.0,0.0
180,5350234.00,2021S05075350234.00,234.0,2.1001,35,0.0,0.0,0.0
181,5350239.00,2021S05075350239.00,239.0,2.5251,35,0.0,0.0,0.0
182,5350241.00,2021S05075350241.00,241.0,1.0863,35,0.0,0.0,0.0
183,5350242.00,2021S05075350242.00,242.0,0.6108,35,1.0,3.0,2.0
184,5350245.00,2021S05075350245.00,245.0,1.4211,35,0.0,0.0,0.0
185,5350246.00,2021S05075350246.00,246.0,1.0727,35,1.0,2.0,1.0
186,5350261.00,2021S05075350261.00,261.0,1.9129,35,0.0,0.0,0.0
187,5350264.00,2021S05075350264.00,264.0,3.4299,35,0.0,0.0,0.0
188,5350265.00,2021S05075350265.00,265.0,2.6642,35,5.0,8.0,3.0
189,5350266.00,2021S05075350266.00,266.0,2.7255,35,0.0,0.0,0.0
190,5350267.00,2021S05075350267.00,267.0,2.7052,35,0.0,0.0,0.0
191,5350268.00,2021S05075350268.00,268.0,3.0255,35,0.0,0.0,0.0
192,5350275.00,2021S05075350275.00,275.0,1.9615,35,2.0,4.0,2.0
193,5350277.00,2021S05075350277.00,277.0,1.0278,35,1.0,4.0,3.0
194,5350278.00,2021S05075350278.00,278.0,1.3337,35,1.0,4.0,3.0
195,5350280.00,2021S05075350280.00,280.0,2.1365,35,1.0,2.0,1.0
196,5350282.00,2021S05075350282.00,282.0,2.2191,35,0.0,0.0,0.0
197,5350284.00,2021S05075350284.00,284.0,1.4127,35,0.0,0.0,0.0
198,5350285.00,2021S05075350285.00,285.0,1.1139,35,2.0,4.0,2.0
199,5350286.00,2021S05075350286.00,286.0,3.2442,35,1.0,2.0,1.0
200,5350288.00,2021S05075350288.00,288.0,2.6307,35,1.0,3.0,2.0
201,5350289.00,2021S05075350289.00,289.0,1.3017,35,1.0,2.0,1.0
202,5350292.00,2021S05075350292.00,292.0,3.7345,35,0.0,0.0,0.0
203,5350293.00,2021S05075350293.00,293.0,2.0084,35,1.0,4.0,3.0
204,5350295.00,2021S05075350295.00,295.0,1.0854,35,0.0,0.0,0.0
205,5350296.00,2021S05075350296.00,296.0,4.6465,35,0.0,0.0,0.0
206,5350298.00,2021S05075350298.00,298.0,2.2618,35,0.0,0.0,0.0
207,5350303.00,2021S05075350303.00,303.0,1.0633,35,0.0,0.0,0.0
208,5350309.00,2021S05075350309.00,309.0,0.7366,35,2.0,3.0,1.0
209,5350313.00,2021S05075350313.00,313.0,2.87,35,1.0,2.0,1.0
210,5350319.00,2021S05075350319.00,319.0,1.2016,35,1.0,4.0,3.0
211,5350330.00,2021S05075350330.00,330.0,2.2367,35,0.0,0.0,0.0
212,5350332.00,2021S05075350332.00,332.0,1.53,35,1.0,2.0,1.0
213,5350333.00,2021S05075350333.00,333.0,2.4472,35,0.0,0.0,0.0
214,5350334.00,2021S05075350334.00,334.0,2.448,35,0.0,0.0,0.0
215,5350335.00,2021S05075350335.00,335.0,2.2299,35,0.0,0.0,0.0
216,5350336.00,2021S05075350336.00,336.0,1.6111,35,0.0,0.0,0.0
217,5350338.00,2021S05075350338.00,338.0,1.6845,35,0.0,0.0,0.0
218,5350339.00,2021S05075350339.00,339.0,1.8174,35,0.0,0.0,0.0
219,5350340.00,2021S05075350340.00,340.0,1.2679,35,1.0,2.0,1.0
220,5350342.00,2021S05075350342.00,342.0,1.2368,35,0.0,0.0,0.0
221,5350343.00,2021S05075350343.00,343.0,1.1126,35,0.0,0.0,0.0
222,5350345.00,2021S05075350345.00,345.0,0.7893,35,0.0,0.0,0.0
223,5350347.00,2021S05075350347.00,347.0,1.4992,35,1.0,2.0,1.0
224,5350348.00,2021S05075350348.00,348.0,2.3159,35,1.0,4.0,3.0
225,5350349.00,2021S05075350349.00,349.0,0.8762,35,0.0,0.0,0.0
226,5350350.00,2021S05075350350.00,350.0,3.361,35,1.0,3.0,2.0
227,5350352.00,2021S05075350352.00,352.0,1.1268,35,1.0,3.0,2.0
228,5350354.00,2021S05075350354.00,354.0,1.3228,35,1.0,3.0,2.0
229,5350356.00,2021S05075350356.00,356.0,1.5419,35,1.0,2.0,1.0
230,5350359.00,2021S05075350359.00,359.0,2.2076,35,1.0,3.0,2.0
231,5350360.00,2021S05075350360.00,360.0,4.5229,35,0.0,0.0,0.0
232,5350365.00,2021S05075350365.00,365.0,1.5674,35,2.0,4.0,2.0
233,5350366.00,2021S05075350366.00,366.0,1.4384,35,1.0,4.0,3.0
234,5350369.00,2021S05075350369.00,369.0,2.4493,35,0.0,0.0,0.0
235,5350371.00,2021S05075350371.00,371.0,3.7241,35,0.0,0.0,0.0
236,5350372.00,2021S05075350372.00,372.0,1.3179,35,0.0,0.0,0.0
237,5350373.00,2021S05075350373.00,373.0,0.9586,35,0.0,0.0,0.0
238,5350012.01,2021S05075350012.01,12.01,0.4305,35,2.0,5.0,3.0
239,5350034.01,2021S05075350034.01,34.01,0.1245,35,11.0,12.0,1.0
240,5350034.02,2021S05075350034.02,34.02,0.3982,35,12.0,14.0,2.0
241,5350299.01,2021S05075350299.01,299.01,2.8825,35,3.0,4.0,1.0
242,5350299.02,2021S05075350299.02,299.02,0.1593,35,2.0,3.0,1.0
243,5350305.03,2021S05075350305.03,305.03,0.7113,35,1.0,4.0,3.0
244,5350307.03,2021S05075350307.03,307.03,0.1101,35,1.0,4.0,3.0
245,5350307.04,2021S05075350307.04,307.04,0.153,35,2.0,3.0,1.0
246,5350307.05,2021S05075350307.05,307.05,0.1046,35,3.0,5.0,2.0
247,5350307.06,2021S05075350307.06,307.06,0.1042,35,3.0,4.0,1.0
248,5350307.07,2021S05075350307.07,307.07,1.2246,35,1.0,3.0,2.0
249,5350368.01,2021S05075350368.01,368.01,0.8885,35,2.0,3.0,1.0
250,5350368.02,2021S05075350368.02,368.02,1.5627,35,1.0,2.0,1.0
251,5350013.01,2021S05075350013.01,13.01,0.3431,35,10.0,12.0,2.0
252,5350013.02,2021S05075350013.02,13.02,0.4225,35,9.0,10.0,1.0
253,5350012.03,2021S05075350012.03,12.03,0.4664,35,9.0,11.0,2.0
254,5350012.04,2021S05075350012.04,12.04,0.2407,35,10.0,12.0,2.0
255,5350376.15,2021S05075350376.15,376.15,0.9131,35,1.0,2.0,1.0
256,5350376.16,2021S05075350376.16,376.16,0.2715,35,1.0,3.0,2.0
257,5350237.01,2021S05075350237.01,237.01,1.1853,35,0.0,0.0,0.0
258,5350237.02,2021S05075350237.02,237.02,0.955,35,0.0,0.0,0.0
259,5350237.03,2021S05075350237.03,237.03,1.0683,35,0.0,0.0,0.0
260,5350249.01,2021S05075350249.01,249.01,0.8298,35,0.0,0.0,0.0
261,5350260.01,2021S05075350260.01,260.01,0.7135,35,0.0,0.0,0.0
262,5350301.01,2021S05075350301.01,301.01,0.8978,35,1.0,3.0,2.0
263,5350304.01,2021S05075350304.01,304.01,0.2493,35,0.0,0.0,0.0
264,5350304.02,2021S05075350304.02,304.02,1.2122,35,1.0,2.0,1.0
265,5350304.03,2021S05075350304.03,304.03,0.9843,35,0.0,0.0,0.0
266,5350304.04,2021S05075350304.04,304.04,0.2344,35,1.0,3.0,2.0
267,5350311.02,2021S05075350311.02,311.02,0.8905,35,1.0,4.0,3.0
268,5350311.03,2021S05075350311.03,311.03,0.8,35,0.0,0.0,0.0
269,5350311.04,2021S05075350311.04,311.04,0.9599,35,0.0,0.0,0.0
270,5350312.02,2021S05075350312.02,312.02,0.5212,35,1.0,2.0,1.0
271,5350312.03,2021S05075350312.03,312.03,1.4873,35,0.0,0.0,0.0
272,5350315.01,2021S05075350315.01,315.01,1.5036,35,0.0,0.0,0.0
273,5350315.02,2021S05075350315.02,315.02,0.4279,35,1.0,3.0,2.0
274,5350316.01,2021S05075350316.01,316.01,1.7746,35,1.0,4.0,3.0
275,5350324.01,2021S05075350324.01,324.01,1.1843,35,1.0,3.0,2.0
276,5350324.02,2021S05075350324.02,324.02,1.8907,35,1.0,2.0,1.0
277,5350324.03,2021S05075350324.03,324.03,2.1668,35,0.0,0.0,0.0
278,5350375.01,2021S05075350375.01,375.01,0.9531,35,1.0,3.0,2.0
279,5350375.02,2021S05075350375.02,375.02,0.6138,35,0.0,0.0,0.0
280,5350375.03,2021S05075350375.03,375.03,0.8111,35,1.0,2.0,1.0
281,5350376.01,2021S05075350376.01,376.01,1.046,35,1.0,4.0,3.0
282,5350376.02,2021S05075350376.02,376.02,0.8583,35,1.0,2.0,1.0
283,5350322.01,2021S05075350322.01,322.01,0.2081,35,3.0,6.0,3.0
284,5350322.02,2021S05075350322.02,322.02,1.4061,35,1.0,4.0,3.0
285,5350378.25,2021S05075350378.25,378.25,4.726,35,0.0,0.0,0.0
286,5350378.26,2021S05075350378.26,378.26,1.6267,35,0.0,0.0,0.0
287,5350378.27,2021S05075350378.27,378.27,19.9096,35,0.0,0.0,0.0
288,5350378.28,2021S05075350378.28,378.28,2.2278,35,0.0,0.0,0.0
289,5350355.05,2021S05075350355.05,355.05,0.3124,35,0.0,0.0,0.0
290,5350355.06,2021S05075350355.06,355.06,0.1918,35,1.0,3.0,2.0
291,5350337.01,2021S05075350337.01,337.01,0.2017,35,0.0,0.0,0.0
292,5350337.02,2021S05075350337.02,337.02,0.6467,35,0.0,0.0,0.0
