CTUID,Neighbourhood,Before_After_Difference,Value
5350062.01,Bay-Cloverhill,travel_time_to_first_dest_after,11.0
5350062.01,Bay-Cloverhill,travel_time_to_first_dest_reduction,0.0
5350062.03,Bay-Cloverhill,travel_time_to_first_dest_before,11.0
5350062.03,Bay-Cloverhill,travel_time_to_first_dest_after,11.0
5350062.03,Bay-Cloverhill,travel_time_to_first_dest_reduction,0.0
5350062.04,Bay-Cloverhill,travel_time_to_first_dest_before,6.0
5350062.04,Bay-Cloverhill,travel_time_to_first_dest_after,6.0
5350062.04,Bay-Cloverhill,travel_time_to_first_dest_reduction,0.0
5350063.03,Church-Wellesley,travel_time_to_first_dest_before,5.0
5350063.03,Church-Wellesley,travel_time_to_first_dest_after,5.0
5350063.03,Church-Wellesley,travel_time_to_first_dest_reduction,0.0
5350063.04,Church-Wellesley,travel_time_to_first_dest_before,6.0
5350063.04,Church-Wellesley,travel_time_to_first_dest_after,6.0
5350063.04,Church-Wellesley,travel_time_to_first_dest_reduction,0.0
5350063.05,Church-Wellesley,travel_time_to_first_dest_before,6.0
5350063.05,Church-Wellesley,travel_time_to_first_dest_after,6.0
5350063.05,Church-Wellesley,travel_time_to_first_dest_reduction,0.0
5350063.06,Church-Wellesley,travel_time_to_first_dest_before,6.0
5350063.06,Church-Wellesley,travel_time_to_first_dest_after,6.0
5350063.06,Church-Wellesley,travel_time_to_first_dest_reduction,0.0
5350064.0,North St.James Town,travel_time_to_first_dest_before,11.0
5350064.0,North St.James Town,travel_time_to_first_dest_after,11.0
5350064.0,North St.James Town,travel_time_to_first_dest_reduction,0.0
5350065.01,North St.James Town,travel_time_to_first_dest_before,16.0
5350065.01,North St.James Town,travel_time_to_first_dest_after,16.0
5350065.01,North St.James Town,travel_time_to_first_dest_reduction,0.0
5350065.02,North St.James Town,travel_time_to_first_dest_before,21.0
5350065.02,North St.James Town,travel_time_to_first_dest_after,21.0
5350065.02,North St.James Town,travel_time_to_first_dest_reduction,0.0
5350066.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_before,16.0
5350066.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_after,16.0
5350066.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_reduction,0.0
5350067.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_before,24.0
5350067.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_after,24.0
5350067.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_reduction,0.0
5350068.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_before,14.0
5350068.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_after,14.0
5350068.0,Cabbagetown-South St.James Town,travel_time_to_first_dest_reduction,0.0
5350069.0,North Riverdale,travel_time_to_first_dest_before,12.0
5350069.0,North Riverdale,travel_time_to_first_dest_after,12.0
5350069.0,North Riverdale,travel_time_to_first_dest_reduction,0.0
5350070.0,North Riverdale,travel_time_to_first_dest_before,13.0
5350070.0,North Riverdale,travel_time_to_first_dest_after,13.0
5350070.0,North Riverdale,travel_time_to_first_dest_reduction,0.0
5350071.0,North Riverdale,travel_time_to_first_dest_before,24.0
5350071.0,North Riverdale,travel_time_to_first_dest_after,24.0
5350071.0,North Riverdale,travel_time_to_first_dest_reduction,0.0
5350072.01,Blake-Jones,travel_time_to_first_dest_before,28.0
5350072.01,Blake-Jones,travel_time_to_first_dest_after,28.0
5350072.01,Blake-Jones,travel_time_to_first_dest_reduction,0.0
5350072.02,Blake-Jones,travel_time_to_first_dest_before,33.0
5350072.02,Blake-Jones,travel_time_to_first_dest_after,29.0
5350072.02,Blake-Jones,travel_time_to_first_dest_reduction,4.0
5350073.0,South Riverdale,travel_time_to_first_dest_before,20.0
5350073.0,South Riverdale,travel_time_to_first_dest_after,20.0
5350073.0,South Riverdale,travel_time_to_first_dest_reduction,0.0
5350074.0,Greenwood-Coxwell,travel_time_to_first_dest_before,26.0
5350074.0,Greenwood-Coxwell,travel_time_to_first_dest_after,26.0
5350074.0,Greenwood-Coxwell,travel_time_to_first_dest_reduction,0.0
5350075.0,Greenwood-Coxwell,travel_time_to_first_dest_before,25.0
5350075.0,Greenwood-Coxwell,travel_time_to_first_dest_after,25.0
5350075.0,Greenwood-Coxwell,travel_time_to_first_dest_reduction,0.0
5350076.0,Woodbine Corridor,travel_time_to_first_dest_before,24.0
5350076.0,Woodbine Corridor,travel_time_to_first_dest_after,24.0
5350076.0,Woodbine Corridor,travel_time_to_first_dest_reduction,0.0
5350077.0,Woodbine Corridor,travel_time_to_first_dest_before,28.0
5350077.0,Woodbine Corridor,travel_time_to_first_dest_after,28.0
5350077.0,Woodbine Corridor,travel_time_to_first_dest_reduction,0.0
5350078.0,East End-Danforth,travel_time_to_first_dest_before,36.0
5350078.0,East End-Danforth,travel_time_to_first_dest_after,33.0
5350078.0,East End-Danforth,travel_time_to_first_dest_reduction,3.0
5350079.0,East End-Danforth,travel_time_to_first_dest_before,40.0
5350079.0,East End-Danforth,travel_time_to_first_dest_after,35.0
5350079.0,East End-Danforth,travel_time_to_first_dest_reduction,5.0
5350080.01,East End-Danforth,travel_time_to_first_dest_before,31.0
5350080.01,East End-Danforth,travel_time_to_first_dest_after,27.0
5350080.01,East End-Danforth,travel_time_to_first_dest_reduction,4.0
5350080.02,East End-Danforth,travel_time_to_first_dest_before,28.0
5350080.02,East End-Danforth,travel_time_to_first_dest_after,24.0
5350080.02,East End-Danforth,travel_time_to_first_dest_reduction,4.0
5350081.0,Danforth,travel_time_to_first_dest_before,17.0
5350081.0,Danforth,travel_time_to_first_dest_after,17.0
5350081.0,Danforth,travel_time_to_first_dest_reduction,0.0
5350082.0,Danforth,travel_time_to_first_dest_before,16.0
5350082.0,Danforth,travel_time_to_first_dest_after,16.0
5350082.0,Danforth,travel_time_to_first_dest_reduction,0.0
5350083.0,Danforth,travel_time_to_first_dest_before,28.0
5350083.0,Danforth,travel_time_to_first_dest_after,22.0
5350083.0,Danforth,travel_time_to_first_dest_reduction,6.0
5350084.0,Playter Estates-Danforth,travel_time_to_first_dest_before,28.0
5350084.0,Playter Estates-Danforth,travel_time_to_first_dest_after,23.0
5350084.0,Playter Estates-Danforth,travel_time_to_first_dest_reduction,5.0
5350085.0,Playter Estates-Danforth,travel_time_to_first_dest_before,16.0
5350085.0,Playter Estates-Danforth,travel_time_to_first_dest_after,16.0
5350085.0,Playter Estates-Danforth,travel_time_to_first_dest_reduction,0.0
5350086.0,Rosedale-Moore Park,travel_time_to_first_dest_before,30.0
5350086.0,Rosedale-Moore Park,travel_time_to_first_dest_after,30.0
5350086.0,Rosedale-Moore Park,travel_time_to_first_dest_reduction,0.0
5350087.0,Rosedale-Moore Park,travel_time_to_first_dest_before,20.0
5350087.0,Rosedale-Moore Park,travel_time_to_first_dest_after,20.0
5350087.0,Rosedale-Moore Park,travel_time_to_first_dest_reduction,0.0
5350088.0,Rosedale-Moore Park,travel_time_to_first_dest_before,6.0
5350088.0,Rosedale-Moore Park,travel_time_to_first_dest_after,6.0
5350088.0,Rosedale-Moore Park,travel_time_to_first_dest_reduction,0.0
5350089.0,Annex,travel_time_to_first_dest_before,15.0
5350089.0,Annex,travel_time_to_first_dest_after,14.0
5350089.0,Annex,travel_time_to_first_dest_reduction,1.0
5350090.0,Annex,travel_time_to_first_dest_before,16.0
5350090.0,Annex,travel_time_to_first_dest_after,16.0
5350090.0,Annex,travel_time_to_first_dest_reduction,0.0
5350091.01,Annex,travel_time_to_first_dest_before,14.0
5350091.01,Annex,travel_time_to_first_dest_after,14.0
5350091.01,Annex,travel_time_to_first_dest_reduction,0.0
5350091.02,Annex,travel_time_to_first_dest_before,21.0
5350091.02,Annex,travel_time_to_first_dest_after,21.0
5350091.02,Annex,travel_time_to_first_dest_reduction,0.0
5350092.0,Annex,travel_time_to_first_dest_before,18.0
5350092.0,Annex,travel_time_to_first_dest_after,18.0
5350092.0,Annex,travel_time_to_first_dest_reduction,0.0
5350093.0,Annex,travel_time_to_first_dest_before,18.0
5350093.0,Annex,travel_time_to_first_dest_after,18.0
5350093.0,Annex,travel_time_to_first_dest_reduction,0.0
5350094.0,Dovercourt Village,travel_time_to_first_dest_before,29.0
5350094.0,Dovercourt Village,travel_time_to_first_dest_after,29.0
5350094.0,Dovercourt Village,travel_time_to_first_dest_reduction,0.0
5350095.0,Dovercourt Village,travel_time_to_first_dest_before,27.0
5350095.0,Dovercourt Village,travel_time_to_first_dest_after,27.0
5350095.0,Dovercourt Village,travel_time_to_first_dest_reduction,0.0
5350096.01,Dovercourt Village,travel_time_to_first_dest_before,32.0
5350096.01,Dovercourt Village,travel_time_to_first_dest_after,32.0
5350096.01,Dovercourt Village,travel_time_to_first_dest_reduction,0.0
5350096.02,Dovercourt Village,travel_time_to_first_dest_before,29.0
5350096.02,Dovercourt Village,travel_time_to_first_dest_after,26.0
5350096.02,Dovercourt Village,travel_time_to_first_dest_reduction,3.0
5350097.01,Junction-Wallace Emerson,travel_time_to_first_dest_before,32.0
5350097.01,Junction-Wallace Emerson,travel_time_to_first_dest_after,26.0
5350097.01,Junction-Wallace Emerson,travel_time_to_first_dest_reduction,6.0
5350097.03,Junction-Wallace Emerson,travel_time_to_first_dest_before,33.0
5350097.03,Junction-Wallace Emerson,travel_time_to_first_dest_after,33.0
5350097.03,Junction-Wallace Emerson,travel_time_to_first_dest_reduction,0.0
5350097.04,Junction-Wallace Emerson,travel_time_to_first_dest_before,35.0
5350097.04,Junction-Wallace Emerson,travel_time_to_first_dest_after,31.0
5350097.04,Junction-Wallace Emerson,travel_time_to_first_dest_reduction,4.0
5350098.0,Junction-Wallace Emerson,travel_time_to_first_dest_before,29.0
5350098.0,Junction-Wallace Emerson,travel_time_to_first_dest_after,29.0
5350098.0,Junction-Wallace Emerson,travel_time_to_first_dest_reduction,0.0
5350099.0,High Park North,travel_time_to_first_dest_before,27.0
5350099.0,High Park North,travel_time_to_first_dest_after,27.0
5350099.0,High Park North,travel_time_to_first_dest_reduction,0.0
5350100.0,Junction Area,travel_time_to_first_dest_before,19.0
5350100.0,Junction Area,travel_time_to_first_dest_after,19.0
5350100.0,Junction Area,travel_time_to_first_dest_reduction,0.0
5350101.0,Junction Area,travel_time_to_first_dest_before,17.0
