CTUID,Job_type,Time,Num_jobs
5350274.01,Manufacturing and Warehousing,before,5.0
5350274.02,Manufacturing and Warehousing,before,87.0
5350275.00,Manufacturing and Warehousing,before,333.0
5350276.01,Manufacturing and Warehousing,before,216.0
5350276.02,Manufacturing and Warehousing,before,3.0
5350277.00,Manufacturing and Warehousing,before,10.0
5350278.00,Manufacturing and Warehousing,before,12.0
5350279.01,Manufacturing and Warehousing,before,2390.0
5350279.02,Manufacturing and Warehousing,before,2833.0
5350280.00,Manufacturing and Warehousing,before,790.0
5350281.01,Manufacturing and Warehousing,before,1532.0
5350281.02,Manufacturing and Warehousing,before,639.0
5350282.00,Manufacturing and Warehousing,before,65.0
5350283.01,Manufacturing and Warehousing,before,269.0
5350283.02,Manufacturing and Warehousing,before,23.0
5350284.00,Manufacturing and Warehousing,before,1548.0
5350285.00,Manufacturing and Warehousing,before,1338.0
5350286.00,Manufacturing and Warehousing,before,752.0
5350287.02,Manufacturing and Warehousing,before,25.0
5350287.03,Manufacturing and Warehousing,before,1885.0
5350287.04,Manufacturing and Warehousing,before,31.0
5350288.00,Manufacturing and Warehousing,before,2017.0
5350289.00,Manufacturing and Warehousing,before,1942.0
5350290.01,Manufacturing and Warehousing,before,280.0
5350290.02,Manufacturing and Warehousing,before,1919.0
5350291.02,Manufacturing and Warehousing,before,283.0
5350291.03,Manufacturing and Warehousing,before,493.0
5350291.04,Manufacturing and Warehousing,before,2247.0
5350292.00,Manufacturing and Warehousing,before,0.0
5350293.00,Manufacturing and Warehousing,before,12310.0
5350294.01,Manufacturing and Warehousing,before,2552.0
5350294.02,Manufacturing and Warehousing,before,2883.0
5350295.00,Manufacturing and Warehousing,before,120.0
5350297.01,Manufacturing and Warehousing,before,141.0
5350297.02,Manufacturing and Warehousing,before,2.0
5350298.00,Manufacturing and Warehousing,before,23.0
5350299.01,Manufacturing and Warehousing,before,115.0
5350299.02,Manufacturing and Warehousing,before,103.0
5350300.01,Manufacturing and Warehousing,before,128.0
5350300.02,Manufacturing and Warehousing,before,108.0
5350300.03,Manufacturing and Warehousing,before,76.0
5350301.01,Manufacturing and Warehousing,before,0.0
5350301.03,Manufacturing and Warehousing,before,159.0
5350301.04,Manufacturing and Warehousing,before,5.0
5350302.01,Manufacturing and Warehousing,before,98.0
5350302.02,Manufacturing and Warehousing,before,4.0
5350302.03,Manufacturing and Warehousing,before,602.0
5350303.00,Manufacturing and Warehousing,before,2.0
5350304.01,Manufacturing and Warehousing,before,94.0
5350304.02,Manufacturing and Warehousing,before,0.0
5350304.03,Manufacturing and Warehousing,before,0.0
5350304.04,Manufacturing and Warehousing,before,158.0
5350304.05,Manufacturing and Warehousing,before,5.0
5350304.06,Manufacturing and Warehousing,before,2.0
5350305.01,Manufacturing and Warehousing,before,0.0
5350305.03,Manufacturing and Warehousing,before,69.0
5350305.05,Manufacturing and Warehousing,before,69.0
5350305.06,Manufacturing and Warehousing,before,61.0
5350306.01,Manufacturing and Warehousing,before,15.0
5350306.02,Manufacturing and Warehousing,before,71.0
5350307.03,Manufacturing and Warehousing,before,120.0
5350307.04,Manufacturing and Warehousing,before,101.0
5350307.05,Manufacturing and Warehousing,before,203.0
5350307.06,Manufacturing and Warehousing,before,94.0
5350307.07,Manufacturing and Warehousing,before,80.0
5350308.02,Manufacturing and Warehousing,before,92.0
5350308.03,Manufacturing and Warehousing,before,159.0
5350308.05,Manufacturing and Warehousing,before,94.0
5350308.06,Manufacturing and Warehousing,before,164.0
5350308.07,Manufacturing and Warehousing,before,133.0
5350309.00,Manufacturing and Warehousing,before,75.0
5350310.01,Manufacturing and Warehousing,before,75.0
5350310.02,Manufacturing and Warehousing,before,8207.0
5350311.02,Manufacturing and Warehousing,before,8186.0
5350311.03,Manufacturing and Warehousing,before,2.0
5350311.04,Manufacturing and Warehousing,before,35.0
5350311.05,Manufacturing and Warehousing,before,8303.0
5350311.06,Manufacturing and Warehousing,before,75.0
5350312.02,Manufacturing and Warehousing,before,757.0
5350312.03,Manufacturing and Warehousing,before,760.0
5350312.04,Manufacturing and Warehousing,before,1795.0
5350312.05,Manufacturing and Warehousing,before,1911.0
5350312.06,Manufacturing and Warehousing,before,3583.0
5350312.07,Manufacturing and Warehousing,before,2888.0
5350313.00,Manufacturing and Warehousing,before,10434.0
5350314.01,Manufacturing and Warehousing,before,12103.0
5350314.02,Manufacturing and Warehousing,before,2.0
5350315.01,Manufacturing and Warehousing,before,0.0
5350315.02,Manufacturing and Warehousing,before,7.0
5350315.03,Manufacturing and Warehousing,before,1700.0
5350316.01,Manufacturing and Warehousing,before,1300.0
5350316.03,Manufacturing and Warehousing,before,1910.0
5350316.04,Manufacturing and Warehousing,before,1910.0
5350316.05,Manufacturing and Warehousing,before,1910.0
5350316.06,Manufacturing and Warehousing,before,727.0
5350317.02,Manufacturing and Warehousing,before,1740.0
5350317.03,Manufacturing and Warehousing,before,1.0
5350317.04,Manufacturing and Warehousing,before,1830.0
5350317.05,Manufacturing and Warehousing,before,10079.0
5350318.01,Manufacturing and Warehousing,before,147.0
5350318.02,Manufacturing and Warehousing,before,201.0
5350319.00,Manufacturing and Warehousing,before,22.0
5350320.01,Manufacturing and Warehousing,before,22.0
5350320.02,Manufacturing and Warehousing,before,3.0
5350321.01,Manufacturing and Warehousing,before,6.0
5350321.02,Manufacturing and Warehousing,before,2.0
5350322.01,Manufacturing and Warehousing,before,203.0
5350322.02,Manufacturing and Warehousing,before,4.0
5350323.01,Manufacturing and Warehousing,before,0.0
5350324.01,Manufacturing and Warehousing,before,530.0
5350324.02,Manufacturing and Warehousing,before,530.0
5350324.03,Manufacturing and Warehousing,before,1351.0
5350324.05,Manufacturing and Warehousing,before,530.0
5350324.06,Manufacturing and Warehousing,before,0.0
5350330.00,Manufacturing and Warehousing,before,14.0
5350331.01,Manufacturing and Warehousing,before,180.0
5350331.03,Manufacturing and Warehousing,before,178.0
5350331.04,Manufacturing and Warehousing,before,13.0
