CTUID,Neighbourhood,Timeframe,Total Destinations
5350035.00,Yonge-Bay Corridor,first_destination_travel_time_diff,0
5350036.00,Kensington-Chinatown,first_destination_travel_time_after,12
5350036.00,Kensington-Chinatown,first_destination_travel_time_before,14
5350036.00,Kensington-Chinatown,first_destination_travel_time_diff,0
5350037.00,Kensington-Chinatown,first_destination_travel_time_after,12
5350037.00,Kensington-Chinatown,first_destination_travel_time_before,17
5350037.00,Kensington-Chinatown,first_destination_travel_time_diff,0
5350038.00,Kensington-Chinatown,first_destination_travel_time_after,10
5350038.00,Kensington-Chinatown,first_destination_travel_time_before,11
5350038.00,Kensington-Chinatown,first_destination_travel_time_diff,1
5350039.00,Kensington-Chinatown,first_destination_travel_time_after,9
5350039.00,Kensington-Chinatown,first_destination_travel_time_before,16
5350039.00,Kensington-Chinatown,first_destination_travel_time_diff,0
5350040.00,Trinity-Bellwoods,first_destination_travel_time_after,6
5350040.00,Trinity-Bellwoods,first_destination_travel_time_before,12
5350040.00,Trinity-Bellwoods,first_destination_travel_time_diff,0
5350041.00,Trinity-Bellwoods,first_destination_travel_time_after,9
5350041.00,Trinity-Bellwoods,first_destination_travel_time_before,19
5350041.00,Trinity-Bellwoods,first_destination_travel_time_diff,0
5350042.00,Trinity-Bellwoods,first_destination_travel_time_after,5
5350042.00,Trinity-Bellwoods,first_destination_travel_time_before,11
5350042.00,Trinity-Bellwoods,first_destination_travel_time_diff,1
5350043.00,Trinity-Bellwoods,first_destination_travel_time_after,5
5350043.00,Trinity-Bellwoods,first_destination_travel_time_before,8
5350043.00,Trinity-Bellwoods,first_destination_travel_time_diff,0
5350044.01,Little Portugal,first_destination_travel_time_after,4
5350044.01,Little Portugal,first_destination_travel_time_before,13
5350044.01,Little Portugal,first_destination_travel_time_diff,0
5350044.02,Little Portugal,first_destination_travel_time_after,4
5350044.02,Little Portugal,first_destination_travel_time_before,13
5350044.02,Little Portugal,first_destination_travel_time_diff,0
5350045.00,Little Portugal,first_destination_travel_time_after,5
5350045.00,Little Portugal,first_destination_travel_time_before,6
5350045.00,Little Portugal,first_destination_travel_time_diff,0
5350046.00,Little Portugal,first_destination_travel_time_after,4
5350046.00,Little Portugal,first_destination_travel_time_before,5
5350046.00,Little Portugal,first_destination_travel_time_diff,0
5350047.02,Roncesvalles,first_destination_travel_time_after,3
5350047.02,Roncesvalles,first_destination_travel_time_before,4
5350047.02,Roncesvalles,first_destination_travel_time_diff,0
5350047.03,Roncesvalles,first_destination_travel_time_after,1
5350047.03,Roncesvalles,first_destination_travel_time_before,4
5350047.03,Roncesvalles,first_destination_travel_time_diff,0
5350047.04,Roncesvalles,first_destination_travel_time_after,3
5350047.04,Roncesvalles,first_destination_travel_time_before,9
5350047.04,Roncesvalles,first_destination_travel_time_diff,0
5350048.00,Roncesvalles,first_destination_travel_time_after,3
5350048.00,Roncesvalles,first_destination_travel_time_before,7
5350048.00,Roncesvalles,first_destination_travel_time_diff,0
5350049.00,High Park-Swansea,first_destination_travel_time_after,3
5350049.00,High Park-Swansea,first_destination_travel_time_before,13
5350049.00,High Park-Swansea,first_destination_travel_time_diff,0
5350050.01,High Park-Swansea,first_destination_travel_time_after,0
5350050.01,High Park-Swansea,first_destination_travel_time_before,6
5350050.01,High Park-Swansea,first_destination_travel_time_diff,0
5350050.03,High Park-Swansea,first_destination_travel_time_after,1
5350050.03,High Park-Swansea,first_destination_travel_time_before,11
5350050.03,High Park-Swansea,first_destination_travel_time_diff,0
5350050.04,High Park-Swansea,first_destination_travel_time_after,2
5350050.04,High Park-Swansea,first_destination_travel_time_before,4
5350050.04,High Park-Swansea,first_destination_travel_time_diff,0
5350051.00,High Park-Swansea,first_destination_travel_time_after,2
5350051.00,High Park-Swansea,first_destination_travel_time_before,9
5350051.00,High Park-Swansea,first_destination_travel_time_diff,0
5350052.00,Roncesvalles,first_destination_travel_time_after,4
5350052.00,Roncesvalles,first_destination_travel_time_before,10
5350052.00,Roncesvalles,first_destination_travel_time_diff,0
5350053.00,Dufferin Grove,first_destination_travel_time_after,7
5350053.00,Dufferin Grove,first_destination_travel_time_before,12
5350053.00,Dufferin Grove,first_destination_travel_time_diff,3
5350054.00,Dufferin Grove,first_destination_travel_time_after,9
5350054.00,Dufferin Grove,first_destination_travel_time_before,8
5350054.00,Dufferin Grove,first_destination_travel_time_diff,5
5350055.00,Palmerston-Little Italy,first_destination_travel_time_after,4
5350055.00,Palmerston-Little Italy,first_destination_travel_time_before,10
5350055.00,Palmerston-Little Italy,first_destination_travel_time_diff,2
5350056.00,Palmerston-Little Italy,first_destination_travel_time_after,8
5350056.00,Palmerston-Little Italy,first_destination_travel_time_before,11
5350056.00,Palmerston-Little Italy,first_destination_travel_time_diff,3
5350057.00,Palmerston-Little Italy,first_destination_travel_time_after,11
5350057.00,Palmerston-Little Italy,first_destination_travel_time_before,9
5350057.00,Palmerston-Little Italy,first_destination_travel_time_diff,8
