CTUID,Neighbourhood,total_destinations_within_30_mins_before,total_destinations_within_30_mins_after,total_destinations_within_30_mins_diff
5350374.02,Tam O'Shanter-Sullivan,1,1,0
5350374.03,Tam O'Shanter-Sullivan,1,1,0
5350375.04,East L'Amoreaux,1,1,0
5350375.05,L'Amoreaux West,0,0,0
5350139.02,Lawrence Park South,0,0,0
5350377.02,Agincourt South-Malvern West,0,0,0
5350377.03,Agincourt North,0,0,0
5350287.03,Englemount-Lawrence,1,1,0
5350378.02,Agincourt South-Malvern West,0,0,0
5350378.03,Malvern East,1,1,0
5350287.04,Englemount-Lawrence,1,1,0
5350308.03,Willowdale West,2,2,0
5350291.03,Downsview,1,1,0
5350291.04,Downsview,1,1,0
5350290.01,Oakdale-Beverley Heights,1,1,0
5350290.02,Downsview,1,1,0
5350096.01,Dovercourt Village,0,0,0
5350096.02,Dovercourt Village,1,5,4
5350097.03,Junction-Wallace Emerson,0,0,0
5350097.04,Junction-Wallace Emerson,0,0,0
5350008.01,Fort York-Liberty Village,2,2,0
5350008.02,Fort York-Liberty Village,1,1,0
5350047.03,Roncesvalles,1,1,0
5350047.04,Roncesvalles,3,3,0
5350102.04,High Park North,1,1,0
5350102.05,High Park North,1,1,0
5350050.03,High Park-Swansea,1,1,0
5350050.04,High Park-Swansea,2,2,0
5350210.01,Mimico-Queensway,0,0,0
5350200.01,Humber Bay Shores,0,0,0
5350200.02,Mimico-Queensway,0,0,0
5350213.01,Islington,0,0,0
5350213.02,Etobicoke City Centre,1,1,0
5350223.01,Islington,0,0,0
5350223.02,Islington,0,0,0
5350007.01,South Parkdale,3,3,0
5350007.02,South Parkdale,3,3,0
5350091.01,Annex,11,12,1
5350091.02,Annex,10,10,0
5350141.01,Lawrence Park North,2,2,0
5350141.02,Lawrence Park North,0,0,0
5350181.01,Woodbine-Lumsden,1,1,0
5350181.02,Woodbine-Lumsden,1,1,0
5350206.01,Long Branch,0,0,0
5350206.02,Long Branch,0,0,0
5350244.01,Elms-Old Rexdale,0,0,0
5350244.02,Elms-Old Rexdale,2,2,0
5350263.02,Banbury-Don Mills,2,2,0
5350271.01,Parkwoods-O'Connor Hills,0,0,0
5350271.02,Parkwoods-O'Connor Hills,0,0,0
5350272.01,Fenside-Parkwoods,0,0,0
5350272.02,Fenside-Parkwoods,0,0,0
5350274.01,St.Andrew-Windfields,0,0,0
5350274.02,St.Andrew-Windfields,0,0,0
5350291.02,Oakdale-Beverley Heights,1,1,0
5350302.03,Pleasant View,1,1,0
5350310.01,Bathurst Manor,1,1,0
5350310.02,Bathurst Manor,2,2,0
5350312.05,Glenfield-Jane Heights,1,1,0
5350314.01,Humbermede,1,1,0
5350314.02,Humbermede,0,0,0
5350315.03,Humber Summit,0,0,0
5350316.03,Black Creek,1,1,0
5350316.04,Black Creek,1,1,0
5350317.03,Westminster-Branson,0,0,0
5350361.01,Centennial Scarborough,0,0,0
5350361.02,Centennial Scarborough,0,0,0
5350362.01,West Rouge,0,0,0
5350362.02,Highland Creek,1,1,0
5350362.03,Highland Creek,1,1,0
5350376.05,Steeles,1,1,0
5350376.06,Milliken,1,1,0
5350376.04,Steeles,1,1,0
5350377.04,Agincourt North,1,1,0
5350378.06,Malvern West,0,0,0
5350378.08,Agincourt North,0,0,0
5350378.07,Agincourt South-Malvern West,0,0,0
5350378.04,Malvern West,0,0,0
5350378.05,Malvern East,0,0,0
5350362.04,West Rouge,0,0,0
5350376.08,East L'Amoreaux,1,1,0
5350376.09,Steeles,0,0,0
5350249.03,West Humber-Clairville,1,1,0
5350248.03,West Humber-Clairville,0,0,0
5350167.01,Forest Hill South,8,10,2
5350167.02,Humewood-Cedarvale,1,1,0
5350378.11,Malvern West,0,0,0
5350378.12,Malvern East,1,1,0
5350378.14,Agincourt North,0,0,0
5350062.01,Bay-Cloverhill,10,10,0
5350377.06,Milliken,0,0,0
5350377.07,Milliken,0,0,0
5350047.02,Roncesvalles,3,3,0
5350102.02,High Park North,1,1,0
5350102.03,High Park North,1,1,0
5350136.01,North Toronto,0,0,0
5350136.02,North Toronto,7,7,0
5350249.04,Mount Olive-Silverstone-Jamestown,0,0,0
5350249.05,Mount Olive-Silverstone-Jamestown,1,1,0
5350080.01,East End-Danforth,0,1,1
5350080.02,East End-Danforth,1,2,1
5350072.01,Blake-Jones,1,1,0
5350072.02,Blake-Jones,0,1,1
5350159.01,Keelesdale-Eglinton West,1,1,0
5350159.02,Keelesdale-Eglinton West,1,1,0
5350225.01,Islington,0,0,0
5350225.02,Etobicoke City Centre,0,0,0
5350260.04,Flemingdon Park,0,0,0
5350260.05,Flemingdon Park,0,0,0
5350247.01,West Humber-Clairville,0,0,0
5350247.02,West Humber-Clairville,1,1,0
5350248.04,West Humber-Clairville,1,1,0
5350248.05,West Humber-Clairville,1,1,0
5350281.01,Brookhaven-Amesbury,1,1,0
5350281.02,Brookhaven-Amesbury,0,0,0
5350301.03,Henry Farm,1,1,0
5350301.04,Henry Farm,0,0,0
5350263.03,Banbury-Don Mills,0,0,0
5350263.04,Banbury-Don Mills,0,0,0
5350305.01,Bayview Village,0,0,0
5350306.01,East Willowdale,0,0,0
5350306.02,East Willowdale,0,0,0
5350312.06,Glenfield-Jane Heights,2,2,0
5350312.07,Glenfield-Jane Heights,0,0,0
5350316.05,Black Creek,1,1,0
5350316.06,Black Creek,1,1,0
5350321.01,Newtonbrook East,1,1,0
5350321.02,Newtonbrook East,1,1,0
5350324.05,Hillcrest Village,0,0,0
5350324.06,Hillcrest Village,0,0,0
5350331.03,Scarborough Village,0,0,0
5350331.04,Scarborough Village,0,0,0
5350351.01,Ionview,0,0,0
5350351.02,Ionview,1,1,0
5350353.03,Eglinton East,1,1,0
5350353.04,Eglinton East,0,0,0
5350355.04,Eglinton East,1,1,0
5350363.04,Morningside,1,1,0
5350363.05,Morningside,1,1,0
5350376.11,L'Amoreaux West,1,1,0
5350376.12,L'Amoreaux West,1,1,0
5350376.13,Steeles,1,1,0
5350376.14,Steeles,1,1,0
5350378.16,Malvern East,0,0,0
5350378.17,Malvern East,0,0,0
5350311.05,York University Heights,2,2,0
5350311.06,York University Heights,1,1,0
5350378.18,Milliken,0,0,0
5350378.19,Milliken,0,0,0
5350378.20,Milliken,0,0,0
5350378.21,Milliken,0,0,0
5350378.22,Milliken,0,0,0
5350194.01,Thorncliffe Park,0,0,0
5350194.02,Thorncliffe Park,0,0,0
5350194.03,Thorncliffe Park,0,0,0
5350194.04,Thorncliffe Park,0,0,0
5350317.04,Westminster-Branson,2,2,0
5350317.05,Westminster-Branson,2,2,0
5350341.03,Clairlea-Birchmount,1,1,0
5350341.04,Oakridge,1,1,0
5350250.04,Mount Olive-Silverstone-Jamestown,0,0,0
5350250.05,Mount Olive-Silverstone-Jamestown,0,0,0
5350269.01,Fenside-Parkwoods,1,1,0
5350269.02,Parkwoods-O'Connor Hills,0,0,0
5350344.01,Kennedy Park,1,1,0
5350344.02,Kennedy Park,1,1,0
5350011.01,Wellington Place,12,12,0
5350011.02,Wellington Place,12,12,0
5350011.03,Wellington Place,12,12,0
5350044.01,Little Portugal,4,4,0
5350044.02,Little Portugal,4,4,0
5350300.01,Avondale,4,4,0
5350300.02,Avondale,0,0,0
5350300.03,Avondale,0,0,0
5350318.01,Newtonbrook West,2,2,0
5350318.02,Newtonbrook West,3,3,0
5350305.05,Bayview Village,1,1,0
5350305.06,Bayview Village,1,1,0
5350377.08,Agincourt South-Malvern West,1,1,0
5350377.09,Agincourt South-Malvern West,0,0,0
5350308.05,Willowdale West,1,1,0
5350308.06,Willowdale West,3,3,0
5350308.07,Willowdale West,3,3,0
5350210.03,Humber Bay Shores,0,0,0
5350210.04,Humber Bay Shores,1,1,0
5350062.03,Bay-Cloverhill,11,11,0
5350062.04,Bay-Cloverhill,12,12,0
5350017.01,St Lawrence-East Bayfront-The Islands,1,1,0
5350017.02,St Lawrence-East Bayfront-The Islands,2,2,0
