CTUID,Neighbourhood,Timeframe,Total Destinations
5350059.00,University,total_destinations_within_30_mins_before,11
5350059.00,University,total_destinations_within_30_mins_diff,1
5350060.00,University,total_destinations_within_30_mins_after,11
5350060.00,University,total_destinations_within_30_mins_before,10
5350060.00,University,total_destinations_within_30_mins_diff,1
5350061.00,University,total_destinations_within_30_mins_after,11
5350061.00,University,total_destinations_within_30_mins_before,11
5350061.00,University,total_destinations_within_30_mins_diff,0
5350062.01,Bay-Cloverhill,total_destinations_within_30_mins_after,10
5350062.01,Bay-Cloverhill,total_destinations_within_30_mins_before,10
5350062.01,Bay-Cloverhill,total_destinations_within_30_mins_diff,0
5350062.03,Bay-Cloverhill,total_destinations_within_30_mins_after,11
5350062.03,Bay-Cloverhill,total_destinations_within_30_mins_before,11
5350062.03,Bay-Cloverhill,total_destinations_within_30_mins_diff,0
5350062.04,Bay-Cloverhill,total_destinations_within_30_mins_after,12
5350062.04,Bay-Cloverhill,total_destinations_within_30_mins_before,12
5350062.04,Bay-Cloverhill,total_destinations_within_30_mins_diff,0
5350063.03,Church-Wellesley,total_destinations_within_30_mins_after,9
5350063.03,Church-Wellesley,total_destinations_within_30_mins_before,9
5350063.03,Church-Wellesley,total_destinations_within_30_mins_diff,0
5350063.04,Church-Wellesley,total_destinations_within_30_mins_after,11
5350063.04,Church-Wellesley,total_destinations_within_30_mins_before,11
5350063.04,Church-Wellesley,total_destinations_within_30_mins_diff,0
5350063.05,Church-Wellesley,total_destinations_within_30_mins_after,11
5350063.05,Church-Wellesley,total_destinations_within_30_mins_before,10
5350063.05,Church-Wellesley,total_destinations_within_30_mins_diff,1
5350063.06,Church-Wellesley,total_destinations_within_30_mins_after,12
5350063.06,Church-Wellesley,total_destinations_within_30_mins_before,12
5350063.06,Church-Wellesley,total_destinations_within_30_mins_diff,0
5350064.00,North St.James Town,total_destinations_within_30_mins_after,8
5350064.00,North St.James Town,total_destinations_within_30_mins_before,8
5350064.00,North St.James Town,total_destinations_within_30_mins_diff,0
5350065.01,North St.James Town,total_destinations_within_30_mins_after,8
5350065.01,North St.James Town,total_destinations_within_30_mins_before,4
5350065.01,North St.James Town,total_destinations_within_30_mins_diff,4
5350065.02,North St.James Town,total_destinations_within_30_mins_after,3
5350065.02,North St.James Town,total_destinations_within_30_mins_before,3
5350065.02,North St.James Town,total_destinations_within_30_mins_diff,0
5350066.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_after,11
5350066.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_before,11
5350066.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_diff,0
5350067.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_after,1
5350067.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_before,1
5350067.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_diff,0
5350068.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_after,6
5350068.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_before,6
5350068.00,Cabbagetown-South St.James Town,total_destinations_within_30_mins_diff,0
5350069.00,North Riverdale,total_destinations_within_30_mins_after,2
5350069.00,North Riverdale,total_destinations_within_30_mins_before,1
5350069.00,North Riverdale,total_destinations_within_30_mins_diff,1
5350070.00,North Riverdale,total_destinations_within_30_mins_after,4
5350070.00,North Riverdale,total_destinations_within_30_mins_before,2
5350070.00,North Riverdale,total_destinations_within_30_mins_diff,2
5350071.00,North Riverdale,total_destinations_within_30_mins_after,2
5350071.00,North Riverdale,total_destinations_within_30_mins_before,1
5350071.00,North Riverdale,total_destinations_within_30_mins_diff,1
5350072.01,Blake-Jones,total_destinations_within_30_mins_after,1
5350072.01,Blake-Jones,total_destinations_within_30_mins_before,1
5350072.01,Blake-Jones,total_destinations_within_30_mins_diff,0
5350072.02,Blake-Jones,total_destinations_within_30_mins_after,1
5350072.02,Blake-Jones,total_destinations_within_30_mins_before,0
5350072.02,Blake-Jones,total_destinations_within_30_mins_diff,1
5350073.00,South Riverdale,total_destinations_within_30_mins_after,1
5350073.00,South Riverdale,total_destinations_within_30_mins_before,1
5350073.00,South Riverdale,total_destinations_within_30_mins_diff,0
5350074.00,Greenwood-Coxwell,total_destinations_within_30_mins_after,2
5350074.00,Greenwood-Coxwell,total_destinations_within_30_mins_before,2
5350074.00,Greenwood-Coxwell,total_destinations_within_30_mins_diff,0
5350075.00,Greenwood-Coxwell,total_destinations_within_30_mins_after,2
5350075.00,Greenwood-Coxwell,total_destinations_within_30_mins_before,1
5350075.00,Greenwood-Coxwell,total_destinations_within_30_mins_diff,1
5350076.00,Woodbine Corridor,total_destinations_within_30_mins_after,1
5350076.00,Woodbine Corridor,total_destinations_within_30_mins_before,1
5350076.00,Woodbine Corridor,total_destinations_within_30_mins_diff,0
5350077.00,Woodbine Corridor,total_destinations_within_30_mins_after,2
5350077.00,Woodbine Corridor,total_destinations_within_30_mins_before,1
5350077.00,Woodbine Corridor,total_destinations_within_30_mins_diff,1
5350078.00,East End-Danforth,total_destinations_within_30_mins_after,0
5350078.00,East End-Danforth,total_destinations_within_30_mins_before,0
5350078.00,East End-Danforth,total_destinations_within_30_mins_diff,0
5350079.00,East End-Danforth,total_destinations_within_30_mins_after,0
