CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350041.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,after,9.0
5350041.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350042.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,before,5.0
5350042.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,after,5.0
5350042.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350043.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,before,5.0
5350043.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,after,5.0
5350043.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350044.01,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,before,4.0
5350044.01,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,after,4.0
5350044.01,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350044.02,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,before,4.0
5350044.02,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,after,4.0
5350044.02,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350045.00,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,before,5.0
5350045.00,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,after,5.0
5350045.00,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350046.00,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,before,4.0
5350046.00,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,after,4.0
5350046.00,Little Portugal,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350047.02,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,before,3.0
5350047.02,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,after,3.0
5350047.02,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350047.03,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350047.03,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350047.03,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350047.04,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,before,3.0
5350047.04,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,after,3.0
5350047.04,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350048.00,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,before,3.0
5350048.00,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,after,3.0
5350048.00,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350049.00,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,before,3.0
5350049.00,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,after,3.0
5350049.00,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350050.01,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,before,0.0
5350050.01,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,after,0.0
5350050.01,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350050.03,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350050.03,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350050.03,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350050.04,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
5350050.04,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350050.04,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350051.00,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
5350051.00,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350051.00,High Park-Swansea,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350052.00,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,before,4.0
5350052.00,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,after,4.0
5350052.00,Roncesvalles,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350053.00,Dufferin Grove,Social,Number of Destinations Accessible,30.0,Hospital,before,7.0
5350053.00,Dufferin Grove,Social,Number of Destinations Accessible,30.0,Hospital,after,7.0
5350053.00,Dufferin Grove,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350054.00,Dufferin Grove,Social,Number of Destinations Accessible,30.0,Hospital,before,9.0
5350054.00,Dufferin Grove,Social,Number of Destinations Accessible,30.0,Hospital,after,9.0
5350054.00,Dufferin Grove,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350055.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,before,4.0
5350055.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,after,4.0
5350055.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350056.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,before,8.0
5350056.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,after,8.0
5350056.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350057.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350057.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350057.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350058.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,before,9.0
5350058.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,after,9.0
