CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350039.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,40.0,Yonge-Eglinton Centre,before,40.0
5350039.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,54.0,North York Centre,before,54.0
5350039.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,84.0,Scarborough Centre,before,84.0
5350040.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,31.0,Downtown Toronto,before,31.0
5350040.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,54.0,Etobicoke Centre,before,54.0
5350040.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,44.0,Yonge-Eglinton Centre,before,44.0
5350040.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,59.0,North York Centre,before,59.0
5350040.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,90.0,Scarborough Centre,before,90.0
5350041.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,30.0,Downtown Toronto,before,30.0
5350041.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,50.0,Etobicoke Centre,before,50.0
5350041.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,39.0,Yonge-Eglinton Centre,before,39.0
5350041.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,54.0,North York Centre,before,54.0
5350041.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,85.0,Scarborough Centre,before,85.0
5350042.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,33.0,Downtown Toronto,before,33.0
5350042.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,44.0,Etobicoke Centre,before,44.0
5350042.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,39.0,Yonge-Eglinton Centre,before,39.0
5350042.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,53.0,North York Centre,before,53.0
5350042.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,81.0,Scarborough Centre,before,81.0
5350043.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,33.0,Downtown Toronto,before,33.0
5350043.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,45.0,Etobicoke Centre,before,45.0
5350043.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,40.0,Yonge-Eglinton Centre,before,40.0
5350043.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,54.0,North York Centre,before,54.0
5350043.0,Trinity-Bellwoods,Economic,Travel Time to Key Work Locations,82.0,Scarborough Centre,before,82.0
