CTUID,AREA_NAME
5350357.01,Golfdale-Cedarbrae-Woburn
5350357.02,Golfdale-Cedarbrae-Woburn
5350358.01,West Hill
5350358.02,West Hill
5350358.03,West Hill
5350195.02,Leaside-Bennington
5350363.02,Morningside
5350139.01,Lawrence Park South
5350364.01,Morningside
5350364.02,Golfdale-Cedarbrae-Woburn
5350367.01,Woburn North
5350367.02,Woburn North
5350370.01,Dorset Park
5350370.02,Dorset Park
5350370.03,Dorset Park
5350374.01,Tam O'Shanter-Sullivan
5350374.02,Tam O'Shanter-Sullivan
5350374.03,Tam O'Shanter-Sullivan
5350375.04,East L'Amoreaux
5350375.05,L'Amoreaux West
5350139.02,Lawrence Park South
5350377.02,Agincourt South-Malvern West
5350377.03,Agincourt North
5350287.03,Englemount-Lawrence
5350378.02,Agincourt South-Malvern West
5350378.03,Malvern East
5350287.04,Englemount-Lawrence
5350308.03,Willowdale West
5350291.03,Downsview
5350291.04,Downsview
5350290.01,Oakdale-Beverley Heights
5350290.02,Downsview
5350096.01,Dovercourt Village
5350096.02,Dovercourt Village
5350097.03,Junction-Wallace Emerson
5350097.04,Junction-Wallace Emerson
5350008.01,Fort York-Liberty Village
5350008.02,Fort York-Liberty Village
5350047.03,Roncesvalles
5350047.04,Roncesvalles
5350102.04,High Park North
5350102.05,High Park North
5350050.03,High Park-Swansea
5350050.04,High Park-Swansea
5350210.01,Mimico-Queensway
5350200.01,Humber Bay Shores
5350200.02,Mimico-Queensway
5350213.01,Islington
5350213.02,Etobicoke City Centre
5350223.01,Islington
5350223.02,Islington
5350007.01,South Parkdale
5350007.02,South Parkdale
5350091.01,Annex
5350091.02,Annex
5350141.01,Lawrence Park North
5350141.02,Lawrence Park North
5350181.01,Woodbine-Lumsden
5350181.02,Woodbine-Lumsden
5350206.01,Long Branch
5350206.02,Long Branch
5350244.01,Elms-Old Rexdale
5350244.02,Elms-Old Rexdale
5350263.02,Banbury-Don Mills
5350271.01,Parkwoods-O'Connor Hills
5350271.02,Parkwoods-O'Connor Hills
5350272.01,Fenside-Parkwoods
5350272.02,Fenside-Parkwoods
5350274.01,St.Andrew-Windfields
5350274.02,St.Andrew-Windfields
5350291.02,Oakdale-Beverley Heights
5350302.03,Pleasant View
5350310.01,Bathurst Manor
5350310.02,Bathurst Manor
5350312.05,Glenfield-Jane Heights
5350314.01,Humbermede
5350314.02,Humbermede
5350315.03,Humber Summit
5350316.03,Black Creek
5350316.04,Black Creek
5350317.03,Westminster-Branson
5350361.01,Centennial Scarborough
5350361.02,Centennial Scarborough
5350362.01,West Rouge
5350362.02,Highland Creek
5350362.03,Highland Creek
5350376.05,Steeles
5350376.06,Milliken
5350376.04,Steeles
5350377.04,Agincourt North
5350378.06,Malvern West
5350378.08,Agincourt North
5350378.07,Agincourt South-Malvern West
5350378.04,Malvern West
5350378.05,Malvern East
5350362.04,West Rouge
5350376.08,East L'Amoreaux
5350376.09,Steeles
5350249.03,West Humber-Clairville
5350248.03,West Humber-Clairville
5350167.01,Forest Hill South
5350167.02,Humewood-Cedarvale
5350378.11,Malvern West
5350378.12,Malvern East
5350378.14,Agincourt North
5350062.01,Bay-Cloverhill
5350377.06,Milliken
5350377.07,Milliken
5350047.02,Roncesvalles
5350102.02,High Park North
5350102.03,High Park North
5350136.01,North Toronto
5350136.02,North Toronto
5350249.04,Mount Olive-Silverstone-Jamestown
5350249.05,Mount Olive-Silverstone-Jamestown
5350080.01,East End-Danforth
5350080.02,East End-Danforth
5350072.01,Blake-Jones
5350072.02,Blake-Jones
5350159.01,Keelesdale-Eglinton West
5350159.02,Keelesdale-Eglinton West
5350225.01,Islington
5350225.02,Etobicoke City Centre
5350260.04,Flemingdon Park
5350260.05,Flemingdon Park
5350247.01,West Humber-Clairville
5350247.02,West Humber-Clairville
5350248.04,West Humber-Clairville
5350248.05,West Humber-Clairville
5350281.01,Brookhaven-Amesbury
5350281.02,Brookhaven-Amesbury
5350301.03,Henry Farm
5350301.04,Henry Farm
5350263.03,Banbury-Don Mills
5350263.04,Banbury-Don Mills
5350305.01,Bayview Village
5350306.01,East Willowdale
5350306.02,East Willowdale
5350312.06,Glenfield-Jane Heights
5350312.07,Glenfield-Jane Heights
5350316.05,Black Creek
5350316.06,Black Creek
5350321.01,Newtonbrook East
5350321.02,Newtonbrook East
5350324.05,Hillcrest Village
